"Time","Price"
"2024-7",20215
"2024-6",20751
"2024-5",21601
"2024-4",22088
"2024-3",22700
"2024-2",23462
"2023-12",23469
"2023-11",24239
"2023-10",24413
"2023-9",24693
"2023-8",24913
"2023-7",25415
"2023-6",25993
"2023-5",26420
"2023-4",26496
"2023-3",26885
"2023-2",27309
"2023-1",27360
"2022-12",26590
"2022-11",26664
"2022-10",26731
"2022-9",26699
"2022-8",26691
"2022-7",27217
"2022-6",27082
"2022-5",27176
"2022-4",27446
"2022-3",27648
"2022-2",27952
"2022-1",27548
"2021-12",27242
"2021-11",27279
"2021-10",27492
"2021-9",27742
"2021-8",27647
"2021-7",28042
"2021-6",27457
"2021-5",27275
"2021-4",27086
"2021-3",26876
"2021-2",26680
"2021-1",26611
"2020-12",26075
"2020-11",25757
"2020-10",25490
"2020-9",25183
"2020-8",24738
"2020-7",24200
"2020-6",23712
"2020-5",23506
"2020-4",23541
"2020-3",23768
"2020-2",23590
"2020-1",23250
"2019-12",22814
"2019-11",22454
"2019-10",22294
"2019-9",22090
"2019-8",21828
"2019-7",21480
"2019-6",21059
"2019-5",20857
"2019-4",20787
"2019-3",20599
"2019-2",20386
"2019-1",20245
"2018-12",20313
"2018-11",20445
"2018-10",20528
"2018-9",20438
"2018-8",20436
"2018-7",20091
"2018-6",19600
"2018-5",18773
"2018-4",18196
"2018-3",17723
"2018-2",17444
"2018-1",17137
"2017-12",17037
"2017-11",16714
"2017-10",16309
"2017-9",16377
"2017-8",16418
"2017-7",16102
"2017-6",15705
"2017-5",15316
"2017-4",15023
"2017-3",14595
"2017-2",14229
"2017-1",14018
"2016-12",13857
"2016-11",13509
"2016-10",13321
"2016-9",13116
"2016-8",13082
"2016-7",13069
"2016-6",12956
"2016-5",12508
"2016-4",12698
"2016-3",12352
"2016-2",12274
"2016-1",12250
"2015-12",12250
"2015-11",12273
"2015-10",12150
"2015-9",12093
"2015-8",11694
"2015-7",11855
"2015-6",12063
"2015-5",12209
"2015-4",12171
"2015-3",12299
"2015-2",12320
"2015-1",12569
"2014-12",14350
"2014-11",14332
"2014-10",14592
"2014-9",14498
"2014-8",14346
"2014-7",14332
"2014-6",14904
"2014-5",15026
"2014-4",14829
"2014-3",15049
"2014-2",15114
"2014-1",15335
"2013-12",15461
"2013-11",15536
"2013-10",15690
"2013-9",15636
"2013-8",15700
"2013-7",15841
"2013-6",15674
"2013-5",15600
"2013-4",15554
"2013-3",15441
"2013-2",15512
"2013-1",15322
"2012-12",15342
"2012-11",15337
"2012-10",15363
"2012-9",15531
"2012-8",15587
"2012-7",15366
"2012-6",14975
"2012-5",14996
"2012-4",15063
"2012-3",15277
"2012-2",15228
"2012-1",15288
"2011-12",15458
"2011-11",15706
"2011-10",16227
"2011-9",16277
"2011-8",16268
"2011-7",16301
"2011-6",15628
"2011-5",15503
